iter	RMSE
0	17.66938238
1	17.44030127
2	17.18108274
3	16.91666554
4	16.67748485
5	16.44901306
6	16.26700378
7	16.03134406
8	15.86673303
9	15.67365778
10	15.49903871
11	15.35721116
12	15.2343528
13	15.05157287
14	14.91320171
15	14.76744357
16	14.65203775
17	14.53109738
18	14.43221521
19	14.35330847
20	14.19851202
21	14.08715081
22	13.98059323
23	13.85202961
24	13.7588356
25	13.64852734
26	13.53614582
27	13.44116564
28	13.36663349
29	13.27100442
30	13.19363714
31	13.1162805
32	13.031843
33	12.96377754
34	12.89379937
35	12.80230462
36	12.74155545
37	12.66755448
38	12.61496849
39	12.55535101
40	12.49439612
41	12.42695884
42	12.36311161
43	12.30741974
44	12.25400369
45	12.21624479
46	12.16570165
47	12.1015008
48	12.06919287
49	12.01799149
50	11.98458317
51	11.95543066
52	11.90301078
53	11.87451444
54	11.84359988
55	11.80048452
56	11.77224464
57	11.74271649
58	11.70133756
59	11.66832636
60	11.62526882
61	11.5948879
62	11.56737514
63	11.53210087
64	11.4969927
65	11.46698786
66	11.4464236
67	11.41598689
68	11.38945265
69	11.3693333
70	11.33289884
71	11.31355191
72	11.28365753
73	11.26230536
74	11.23912758
75	11.21864806
76	11.19622193
77	11.18131835
78	11.16648398
79	11.14734136
80	11.12289635
81	11.10877025
82	11.09953062
83	11.07939089
84	11.05769497
85	11.03982445
86	11.00846548
87	10.97953539
88	10.96609662
89	10.95563804
90	10.92791868
91	10.91551941
92	10.89275079
93	10.86950956
94	10.84605069
95	10.831704
96	10.80090837
97	10.78904259
98	10.7787852
99	10.76693535
100	10.75664448
101	10.74372592
102	10.72073176
103	10.71015635
104	10.69484457
105	10.67841151
106	10.65792433
107	10.64083704
108	10.62623666
109	10.62096257
110	10.60993518
111	10.59207269
112	10.58237552
113	10.57209336
114	10.55905996
115	10.55009394
116	10.53436383
117	10.52476838
118	10.51430697
119	10.5048353
120	10.49168371
121	10.48566831
122	10.47646504
123	10.46125926
124	10.45257382
125	10.44334582
