iter	Passed	Remaining
0	3	3882
1	7	3643
2	10	3576
3	14	3573
4	17	3552
5	21	3536
6	24	3534
7	28	3492
8	31	3475
9	35	3468
10	38	3452
11	41	3457
12	45	3463
13	49	3457
14	52	3457
15	56	3450
16	59	3444
17	63	3441
18	66	3437
19	69	3428
20	73	3427
21	77	3430
22	80	3427
23	84	3448
24	91	3567
25	96	3626
26	101	3660
27	105	3665
28	109	3672
29	113	3666
30	116	3656
31	120	3646
32	124	3637
33	127	3626
34	130	3611
35	134	3598
36	137	3590
37	141	3581
38	145	3576
39	148	3568
40	152	3572
41	156	3570
42	160	3565
43	163	3560
44	167	3555
45	171	3547
46	174	3542
47	178	3539
48	182	3534
49	185	3531
50	189	3529
51	193	3525
52	197	3521
53	200	3514
54	204	3508
55	207	3504
56	211	3499
57	215	3493
58	218	3488
59	222	3487
60	226	3484
61	230	3482
62	233	3480
63	237	3479
64	241	3478
65	245	3476
66	249	3472
67	253	3469
68	256	3465
69	260	3462
70	264	3460
71	268	3456
72	272	3454
73	275	3451
74	279	3448
75	283	3446
76	287	3444
77	291	3441
78	294	3438
79	298	3434
80	302	3432
81	306	3428
82	309	3423
83	313	3418
84	317	3416
85	321	3412
86	324	3410
87	328	3406
88	332	3404
89	336	3400
90	340	3396
91	343	3393
92	347	3390
93	351	3388
94	355	3386
95	359	3383
96	363	3381
97	367	3379
98	371	3377
99	374	3374
100	378	3371
101	382	3369
102	386	3366
103	390	3363
104	394	3359
105	398	3357
106	401	3354
107	405	3352
108	409	3349
109	413	3346
110	417	3343
111	421	3340
112	425	3338
113	429	3336
114	433	3334
115	437	3331
116	441	3329
117	444	3325
118	448	3324
119	452	3320
120	456	3318
121	460	3316
122	464	3313
123	468	3310
124	472	3308
125	476	3305
126	480	3303
127	484	3299
128	488	3297
129	492	3294
130	496	3290
131	499	3286
132	503	3283
133	507	3280
134	511	3277
135	515	3274
136	519	3270
137	522	3266
138	526	3263
139	530	3260
140	534	3256
141	538	3253
142	542	3251
143	546	3247
144	550	3243
145	553	3238
146	557	3235
147	561	3232
148	565	3229
149	569	3225
150	573	3221
151	577	3219
152	580	3215
153	584	3211
154	588	3209
155	592	3206
156	596	3202
157	600	3199
158	604	3195
159	608	3193
160	612	3189
161	615	3185
162	619	3181
163	623	3178
164	627	3175
165	631	3171
166	635	3167
167	638	3164
168	642	3160
169	646	3157
170	650	3153
171	654	3150
172	658	3146
173	662	3143
174	666	3140
175	670	3137
176	673	3133
177	677	3130
178	681	3126
179	685	3123
180	689	3120
181	693	3115
182	697	3112
183	701	3109
184	704	3105
185	708	3101
186	712	3097
187	716	3094
188	720	3091
189	724	3088
190	728	3084
191	732	3081
192	736	3077
193	740	3075
194	744	3072
195	748	3069
196	752	3067
197	756	3064
198	760	3060
199	764	3058
200	768	3055
201	772	3052
202	776	3049
203	780	3046
204	785	3045
205	789	3042
206	793	3039
207	797	3036
208	801	3033
209	805	3030
210	809	3027
211	813	3025
212	817	3021
213	822	3019
214	826	3015
215	830	3013
216	834	3010
217	838	3007
218	842	3004
219	846	3001
220	850	2998
221	854	2994
222	858	2992
223	862	2988
224	866	2986
225	870	2982
226	875	2980
227	879	2977
228	883	2974
229	887	2971
230	891	2968
231	895	2964
232	899	2961
233	903	2958
234	907	2955
235	911	2951
236	916	2949
237	919	2945
238	923	2941
239	927	2938
240	931	2934
241	935	2931
242	939	2928
243	944	2925
244	948	2921
245	952	2918
246	956	2914
247	960	2911
248	964	2908
249	967	2903
250	972	2900
251	976	2897
252	979	2893
253	983	2889
254	987	2885
255	991	2882
256	995	2878
257	999	2874
258	1003	2871
259	1007	2867
260	1011	2863
261	1015	2859
262	1018	2855
263	1022	2851
264	1026	2847
265	1030	2843
266	1034	2839
267	1038	2835
268	1042	2831
269	1046	2828
270	1050	2824
271	1054	2821
272	1058	2818
273	1062	2814
274	1065	2810
275	1069	2806
276	1073	2803
277	1078	2799
278	1081	2796
279	1085	2791
280	1089	2787
281	1093	2783
282	1097	2780
283	1101	2777
284	1105	2773
285	1109	2770
286	1113	2766
287	1117	2762
288	1121	2759
289	1125	2756
290	1129	2752
291	1133	2748
292	1137	2745
293	1141	2741
294	1145	2737
295	1149	2733
296	1153	2730
297	1157	2727
298	1161	2722
299	1165	2719
300	1169	2715
301	1173	2711
302	1177	2708
303	1181	2705
304	1185	2702
305	1189	2698
306	1193	2694
307	1197	2690
308	1201	2687
309	1205	2684
310	1209	2679
311	1213	2675
312	1217	2672
313	1221	2669
314	1225	2665
315	1229	2662
316	1233	2658
317	1237	2654
318	1241	2651
319	1246	2647
320	1250	2644
321	1254	2640
322	1258	2636
323	1262	2633
324	1266	2630
325	1270	2625
326	1274	2622
327	1278	2618
328	1282	2614
329	1286	2611
330	1290	2607
331	1293	2603
332	1298	2600
333	1302	2596
334	1306	2592
335	1310	2589
336	1314	2585
337	1318	2581
338	1322	2578
339	1326	2574
340	1330	2570
341	1334	2567
342	1338	2563
343	1342	2559
344	1346	2555
345	1349	2551
346	1353	2547
347	1357	2543
348	1361	2539
349	1365	2535
350	1368	2531
351	1372	2527
352	1376	2523
353	1380	2519
354	1384	2515
355	1388	2511
356	1392	2507
357	1395	2503
358	1399	2499
359	1403	2495
360	1407	2491
361	1411	2487
362	1414	2482
363	1418	2479
364	1422	2475
365	1426	2471
366	1430	2467
367	1434	2463
368	1438	2459
369	1441	2455
370	1445	2450
371	1449	2446
372	1453	2442
373	1457	2438
374	1461	2435
375	1465	2431
376	1468	2427
377	1472	2423
378	1476	2419
379	1480	2415
380	1484	2411
381	1488	2407
382	1492	2403
383	1496	2400
384	1500	2396
385	1504	2392
386	1508	2389
387	1512	2385
388	1516	2381
389	1520	2377
390	1524	2373
391	1528	2370
392	1532	2366
393	1536	2362
394	1540	2359
395	1544	2355
396	1548	2351
397	1552	2348
398	1556	2344
399	1560	2340
400	1564	2337
401	1568	2333
402	1572	2330
403	1576	2326
404	1580	2322
405	1584	2318
406	1588	2314
407	1592	2311
408	1596	2307
409	1600	2303
410	1604	2299
411	1608	2296
412	1612	2292
413	1616	2288
414	1620	2284
415	1624	2280
416	1628	2277
417	1632	2273
418	1636	2269
419	1640	2265
420	1644	2261
421	1648	2258
422	1653	2255
423	1657	2251
424	1661	2247
425	1665	2243
426	1669	2240
427	1673	2236
428	1677	2232
429	1681	2229
430	1685	2225
431	1689	2221
432	1693	2216
433	1696	2212
434	1700	2208
435	1704	2204
436	1708	2200
437	1711	2196
438	1716	2192
439	1719	2188
440	1723	2184
441	1727	2180
442	1731	2176
443	1735	2172
444	1738	2168
445	1742	2164
446	1747	2161
447	1751	2157
448	1755	2153
449	1759	2149
450	1762	2145
451	1766	2141
452	1770	2137
453	1774	2133
454	1778	2129
455	1781	2125
456	1785	2121
457	1789	2117
458	1793	2113
459	1797	2109
460	1801	2106
461	1805	2101
462	1808	2097
463	1812	2093
464	1816	2089
465	1820	2086
466	1824	2082
467	1828	2078
468	1832	2074
469	1836	2070
470	1840	2066
471	1844	2062
472	1848	2059
473	1852	2055
474	1855	2051
475	1859	2047
476	1863	2043
477	1868	2040
478	1872	2036
479	1876	2032
480	1880	2028
481	1884	2025
482	1888	2021
483	1892	2017
484	1896	2013
485	1900	2009
486	1904	2005
487	1908	2001
488	1912	1998
489	1916	1994
490	1920	1990
491	1924	1986
492	1928	1982
493	1932	1979
494	1936	1975
495	1940	1971
496	1943	1967
497	1947	1963
498	1952	1959
499	1956	1956
500	1960	1952
501	1963	1948
502	1968	1944
503	1972	1940
504	1976	1937
505	1980	1933
506	1984	1929
507	1988	1925
508	1992	1921
509	1996	1918
510	2000	1914
511	2004	1910
512	2008	1906
513	2012	1902
514	2016	1899
515	2020	1895
516	2024	1891
517	2028	1887
518	2032	1883
519	2036	1879
520	2040	1875
521	2044	1871
522	2048	1868
523	2052	1864
524	2056	1860
525	2060	1856
526	2064	1852
527	2067	1848
528	2071	1844
529	2075	1840
530	2079	1836
531	2083	1833
532	2087	1829
533	2091	1824
534	2095	1821
535	2099	1817
536	2102	1813
537	2106	1809
538	2110	1805
539	2114	1801
540	2118	1797
541	2122	1793
542	2125	1789
543	2129	1784
544	2132	1780
545	2136	1776
546	2140	1772
547	2144	1768
548	2148	1764
549	2152	1760
550	2156	1757
551	2159	1753
552	2163	1749
553	2167	1745
554	2171	1741
555	2175	1737
556	2179	1733
557	2182	1729
558	2186	1725
559	2190	1721
560	2194	1717
561	2198	1713
562	2202	1709
563	2206	1705
564	2210	1701
565	2213	1697
566	2217	1693
567	2221	1689
568	2225	1685
569	2229	1681
570	2233	1677
571	2236	1673
572	2240	1669
573	2245	1666
574	2248	1662
575	2252	1658
576	2257	1654
577	2261	1650
578	2265	1646
579	2268	1642
580	2273	1639
581	2276	1635
582	2280	1631
583	2285	1627
584	2288	1623
585	2293	1620
586	2297	1616
587	2301	1612
588	2305	1608
589	2309	1604
590	2313	1600
591	2317	1596
592	2321	1593
593	2325	1589
594	2329	1585
595	2333	1581
596	2337	1577
597	2341	1574
598	2345	1570
599	2349	1566
600	2353	1562
601	2357	1558
602	2361	1554
603	2365	1550
604	2369	1547
605	2373	1543
606	2377	1539
607	2381	1535
608	2385	1531
609	2389	1527
610	2393	1524
611	2397	1520
612	2401	1516
613	2405	1512
614	2409	1508
615	2413	1504
616	2417	1500
617	2422	1497
618	2425	1493
619	2429	1489
620	2433	1485
621	2437	1481
622	2441	1477
623	2445	1473
624	2449	1469
625	2453	1465
626	2457	1461
627	2461	1457
628	2465	1454
629	2469	1450
630	2472	1446
631	2476	1442
632	2480	1438
633	2484	1434
634	2487	1430
635	2491	1426
636	2495	1422
637	2499	1418
638	2503	1414
639	2507	1410
640	2511	1406
641	2515	1402
642	2519	1398
643	2522	1394
644	2526	1390
645	2530	1386
646	2534	1382
647	2538	1379
648	2542	1375
649	2546	1371
650	2550	1367
651	2554	1363
652	2558	1359
653	2562	1355
654	2565	1351
655	2569	1347
656	2573	1343
657	2577	1339
658	2581	1335
659	2585	1331
660	2589	1327
661	2593	1323
662	2596	1319
663	2600	1316
664	2604	1312
665	2608	1308
666	2612	1304
667	2616	1300
668	2620	1296
669	2624	1292
670	2628	1288
671	2632	1284
672	2636	1280
673	2640	1277
674	2644	1273
675	2648	1269
676	2652	1265
677	2656	1261
678	2660	1257
679	2664	1253
680	2667	1249
681	2671	1245
682	2675	1241
683	2680	1238
684	2684	1234
685	2688	1230
686	2691	1226
687	2696	1222
688	2700	1218
689	2703	1214
690	2707	1210
691	2712	1207
692	2716	1203
693	2719	1199
694	2724	1195
695	2728	1191
696	2732	1187
697	2735	1183
698	2739	1179
699	2744	1176
700	2748	1172
701	2752	1168
702	2756	1164
703	2760	1160
704	2764	1156
705	2768	1152
706	2772	1148
707	2776	1145
708	2780	1141
709	2784	1137
710	2788	1133
711	2792	1129
712	2796	1125
713	2800	1121
714	2804	1117
715	2829	1122
716	2842	1122
717	2855	1121
718	2868	1121
719	2881	1120
720	2894	1120
721	2907	1119
722	2915	1117
723	2922	1114
724	2928	1110
725	2933	1107
726	2937	1103
727	2941	1099
728	2945	1094
729	2949	1090
